Generation,Player,Action,Spent,Terraforming,Cities
0,1,chose Thorgate,,,
0,2,chose Teractor,,,
0,1,bought 5,,,
0,2,bought 6,,,
1,1,played Giant Space Mirror,,,
1,1,played Underground City,,,city
1,2,played Convoy From Europa,,1 ocean,
1,2,played Pets,,,
1,1,played Earth Office,,,
1,2,standard Power Plant,,,
1,2,played Fuel Factory,,,
1,1,passed,,,
1,2,played Business Network,,,
1,2,used Business Network,,,
1,2,passed,,,
2,2,bought 2,,,
2,1,bought 2,,,
2,2,played Miranda Resort,1 titanium,,
2,2,played Archaebacteria,,,
2,1,standard Power Plant,,,
2,2,passed,,,
2,1,passed,,,
3,1,bought 2,,,
3,2,bought 1,,,
3,1,played Artificial Photosynthesis,,,
3,1,standard Power Plant,,,
3,2,played Lava Flows,,2 temperature,
3,2,played Mining Area,,,
3,1,passed,,,
3,2,passed,,,
4,2,bought 2,,,
4,1,bought 2,,,
4,2,standard Asteroid,,1 temperature,
4,2,played Space Mirrors,1 titanium,,
4,1,played Advanced Alloys,,,
4,1,played Physics Complex,4 steel,,
4,2,used Space Mirrors,,,
4,1,played Business Contacts,,,
4,1,used Physics Complex,,,
4,2,passed,,,
4,1,passed,,,
5,1,bought 3,,,
5,2,bought 3,,,
5,1,played Industrial Microbes,4 steel,,
5,1,played Invention Contest,,,
5,2,used Business Network,,,
5,2,played Tardigrades,,,
5,1,used Physics Complex,,,
5,2,played Industrial Center,,,
5,2,used Industrial Center,,,
5,1,passed,,,
5,2,used Tardigrades,,,
5,2,passed,,,
6,2,bought 1,,,
6,1,bought 2,,,
6,2,played Earth Catapult,,,
6,2,used Business Network,,,
6,1,played Robotic Workforce,,,
6,1,standard Power Plant,,,
6,2,played Symbiotic Fungus,,,
6,2,used Tardigrades,,,
6,1,played Olympus Conference,2 steel,,
6,1,played Media Archives,,,
6,2,used Symbiotic Fungus,,,
6,1,played Cartel,,,
6,1,used Physics Complex,,,
6,2,passed,,,
6,1,passed,,,
7,1,bought 2,,,
