Generation,Player,Action,Spent,Terraforming,Cities
0,1,chose UNMI,,,
0,2,chose Tharsis Republic,,,
0,1,bought 6,,,
0,2,bought 6,,,
1,1,used Tharsis Republic,,,city
1,2,played Sabotage,,,
1,2,played Bribed Committee,,,
1,1,passed,,,
1,2,used UNMI,,,
1,2,passed,,,
2,2,bought 2,,,
2,1,bought 3,,,
2,2,standard Asteroid,,1 temperature,
2,2,used UNMI,,,
2,1,played Industrial Microbes,,,
2,1,played Corporate Stronghold,,,city
2,2,standard Power Plant,,,
2,1,played Technology Demonstration,,,
2,2,passed,,,
2,1,passed,,,
3,1,bought 2,,,
3,2,bought 2,,,
3,1,played Standard Technology,,,
3,1,standard Acquifer,,1 ocean,
3,2,played Immigrant City,,,city
3,1,played Rad-Suits,,,
3,2,passed,,,
3,1,passed,,,
4,2,bought 3,,,
4,1,bought 1,,,
4,2,played Mine,,,
4,2,played Giant Space Mirror,,,
4,1,played Nuclear Power,2 steel,,
4,1,played Underground City,,,city
4,2,passed,,,
4,1,passed,,,
5,1,bought 3,,,
5,2,bought 2,,,
5,1,played Great Escarpment Consortium,,,
5,1,played Rad-Chem Factory,3 steel,,
5,2,played Power Supply Consortium,,,
5,2,played Cupola City,3 steel,,city
5,1,bought Mayor,,,
5,2,played Development Center,1 steel,,
5,2,used Development Center,,,
5,1,passed,,,
5,2,passed,,,
6,2,bought 1,,,
6,1,bought 2,,,
6,2,played Industrial Center,,,
6,2,played Domed Crater,,,city
6,1,played Geothermal Power,4 steel,,
6,1,played Magnetic Field Dome,,,
6,2,passed,,,
6,1,bought Builder,,,
6,1,played Food Factory,,,
6,1,passed,,,
7,1,bought 3,,,
7,2,bought 2,,,
7,1,played Mars University,,,
7,1,played Artificial Photosynthesis,,,
7,2,played Lunar Beam,,,
7,2,played Solar Wind Power,,,
7,1,passed,,,
7,2,used Development Center,,,
7,2,passed,,,
8,2,bought 1,,,
8,1,bought 3,,,
8,2,converted heat to temperature,,1 temperature,
8,2,used UNMI,,,
8,1,played Adaptation Technology,,,
8,1,played Power Plant,,,
8,2,played Solar Power,,,
8,2,used Development Center,,,
8,1,played Wave Power,,,
8,1,played Strip Mine,6 steel,2 oxygen,
8,2,passed,,,
8,1,passed,,,
9,1,bought 3,,,
9,2,bought 2,,,
9,1,played Rover Construction,4 steel,,
9,1,played Titanium Mine,2 steel,,
9,2,played Io Mining Industries,2 titanium,,
9,2,played Physics Complex,,,
9,1,played Nitrophilic Moss,,,
9,1,played Protected Habitat,,,
9,2,used Physics Complex,,,
9,2,played CEO’s Favorite Project,,,
9,1,passed,,,
9,2,passed,,,
10,2,bought 2,,,
10,1,bought 2,,,
10,2,converted heat to temperature,,1 temperature,
10,2,used UNMI,,,
10,1,played Mining Area,2 steel,,
10,1,played Olympus Conference,4 steel,,
10,2,standard Power Plant,,,
10,2,played Natural Preserve,,,
10,1,played Water Import from Europa,4 titanium,,
10,1,used Water Import from Europa,,1 ocean,
10,2,used Physics Complex,,,
10,2,played Martian Rails,,,
10,1,played LaGrange Observatory,2 titanium,,
10,1,played Moss,,,
10,2,played Import of Advanced GHG,3 titanium,,
10,1,passed,,,
10,2,passed,,,
11,1,bought 3,,,
11,2,bought 2,,,
11,1,played Fusion Power,6 steel,,
11,1,played Electro Catapult,,,
11,2,played Asteroid Mining Consortium,,,
11,2,played Business Contacts,,,
11,1,used Electro Catapult,,,
11,1,used Water Import from Europa,3 titanium,1 ocean,
11,2,used Physics Complex,,,
11,2,used Martian Rails,,,
11,1,played Robotic Workforce,,,
11,2,played Dust Seals,,,
11,1,passed,,,
11,2,played Black Polar Dust,,1 ocean,
11,2,used UNMI,,,
11,2,passed,,,
12,2,bought 4,,,
12,1,bought 3,,,
12,2,converted heat to temperature,,1 temperature,
12,2,used UNMI,,,
12,1,converted plants to greenery,,1 oxygen,
12,1,used Water Import from Europa,3 titanium,1 ocean,
12,2,played Phobos Space Haven,5 titanium,,city
12,2,used Physics Complex,,,
12,1,standard City,,,city
12,1,played Kelp Farming,,,
12,2,played Urbanized Area,,,city
12,2,used Martian Rails,,,
12,1,converted plants to greenery,,1 oxygen,
12,1,used Electro Catapult,,,
12,2,standard Power Plant,,,
12,2,played Archaebacteria,,,
12,1,played Energy Saving,,,
12,1,played AI Central,8 steel,,
12,2,passed,,,
12,1,used AI Central,,,
12,1,played Sponsors,,,
12,1,passed,,,
13,1,bought 2,,,
13,2,bought 1,,,
13,1,played Earth Catapult,,,
13,1,used Water Import from Europa,3 titanium,1 ocean,
13,2,converted heat to temperature,,1 temperature,
13,2,used Physics Complex,,,
13,1,standard Greenery,,1 oxygen,
13,1,claimed Gardener,,,
13,2,used Martian Rails,,,
13,2,played Adapted Lichen,,,
13,1,used Electro Catapult,,,
13,1,played Research Outpost,8 steel,,city
13,2,used UNMI,,,
13,2,used Industrial Center,,,
13,1,played Algae,,,
13,1,used AI Central,,,
13,2,standard Power Plant,,,
13,2,played Land Claim,,,
13,1,played Quantum Extractor,,,
13,1,played Zeppelins,,,
13,2,played Research,,,
13,2,played Inventor’s Guild,,,
13,1,passed,,,
13,2,used Inventor's Guild,,,
13,2,played Peroxide Power,,,
13,1,passed,,,
14,2,bought 3,,,
14,1,bought 3,,,
14,2,played Anti-Gravity Technology,,,
14,2,played Mineral Deposit,,,
14,1,used Water Import from Europa,3 titanium,1 ocean,
14,1,funded Banker,,,
14,2,played Building Industries,3 steel,,
14,2,funded Thermalist,,,
14,1,standard City,,,city
14,2,played Ore Processor,5 steel,,
14,1,played Designed Microorganisms,,,
14,1,used Martian Rails,,,
14,2,used Ore Processor,,1 oxygen,
14,2,used Electro Catapult,,,
14,1,played Acquired Company,,,
14,1,converted heat to temperature,,1 temperature,
14,2,played Mass Converter,,,
14,2,played Space Station,1 titanium,,
14,1,used UNMI,,,
