Generation,Player,Action,Spent,Terraforming,Cities
0,1,chose Teractor,,,
0,2,chose Inventrix,,,
0,1,bought 4,,,
0,2,bought 5,,,
1,1,played Research Outpost,,,city
1,2,used Inventrix,,,
1,2,played Media Group,,,
1,1,passed,,,
1,2,played Convoy From Europa,,1 ocean,
1,2,played Business Network,,,
1,2,used Business Network,,,
1,2,passed,,,
2,2,bought 2,,,
2,1,bought 1,,,
2,2,played Miranda Resort,,,
2,2,used Business Network,,,
2,1,played Io Mining Industries,,,
2,2,passed,,,
2,1,passed,,,
3,1,bought 2,,,
3,2,bought 3,,,
3,1,played Water Import from Europa,2 titanium,,
3,2,played Space Mirrors,,,
3,2,played Equatorial Magnetizer,,,
3,1,passed,,,
3,2,played Hired Raiders,,,
3,2,used Space Mirrors,,,
3,2,used Equatorial Magnetizer,,,
3,2,used Business Network,,,
3,2,passed,,,
4,2,bought 4,,,
4,1,bought 3,,,
4,2,used Space Mirrors,,,
4,2,used Equatorial Magnetizer,,,
4,1,used Water Import from Europa,,1 ocean,
4,2,used Business Network,,,
4,1,passed,,,
4,2,passed,,,
5,1,bought 3,,,
5,2,bought 3,,,
5,1,used Water Import from Europa,,1 ocean,
5,1,played LaGrange Observatory,,,
5,2,used Space Mirrors,,,
5,2,used Equatorial Magnetizer,,,
5,1,played Earth Office,,,
5,1,played Cartel,,,
5,2,used Business Network,,,
5,2,played Space Station,,,
5,1,passed,,,
5,2,standard sell 2 patents,,,
5,2,played Satellites,,,
5,2,passed,,,
6,2,bought 3,,,
6,1,bought 3,,,
6,2,used Space Mirrors,,,
6,2,used Equatorial Magnetizer,,,
6,1,played Geothermal Power,1 steel,,
6,2,used Business Network,,,
6,2,played Subterranean Reservoir,,1 ocean,
6,1,used Water Import from Europa,,1 ocean,
6,2,claimed Planner,,,
6,1,played Robotic Workforce,,,
6,1,played Gene Repair,,,
6,2,passed,,,
6,1,passed,,,
7,1,bought 4,,,
7,2,bought 3,,,
7,1,played Immigrant City,,,city
7,1,used Water Import from Europa,,1 ocean,
7,2,played Adaptation Technology,,,
7,2,used Business Network,,,
7,1,played Electro Catapult,,,
7,1,used Electro Catapult,,,
7,2,used Space Mirrors,,,
7,2,used Equatorial Magnetizer,,,
7,1,played Domed Crater,,,city
7,2,passed,,,
7,1,passed,,,
8,2,bought 1,,,
8,1,bought 2,,,
8,2,played Lichen,,,
8,2,played Food Factory,,,
8,1,used Electro Catapult,,,
8,1,played Nuclear Power,,,
8,2,used Business Network,,,
8,2,used Space Mirrors,,,
8,1,played Medical Lab,,,
8,1,claimed Builder,,,
8,2,passed,,,
8,1,passed,,,
9,1,bought 2,,,
9,2,bought 1,,,
9,1,claimed Mayor,,,
9,1,played Extreme Cold Fungus,,,
9,2,played Peroxide Power,,,
9,2,played GHG Factories,,,
9,1,used Extreme Cold Fungus,,,
9,1,converted plants to greenery,,1 oxygen,
9,2,used Space Mirrors,,,
9,2,used Equatorial Magnetizer,,,
9,1,used Water Import from Europa,,1 ocean,
9,1,played Restricted Area,,,
9,2,used Business Network,,,
9,2,played Carbonate Processing,,,
9,1,used Restricted Area,,,
9,1,played Investment Loan,,,
9,2,passed,,,
9,1,used Electro Catapult,,,
9,1,played Power Plant,,,
9,1,passed,,,
10,2,bought 2,,,
10,1,bought 4,,,
10,2,played Decomposers,,,
10,2,used Business Network,,,
10,1,played Soletta,2 titanium,,
10,1,played Magnetic Field Generator,,,
10,2,used Space Mirrors,,,
10,2,used Equatorial Magnetizer,,,
10,1,used Electro Catapult,,,
10,1,played Archaebacteria,,,
10,2,played Invention Contest,,,
10,2,played Mining Rights,,,
10,1,used Extreme Cold Fungus,,,
10,1,converted heat to temperature,,1 temperature,
